id,question,retrieved_slices,correctness_score,predicted_text,ground_truth,llm_judge,timestamp
MSAR-1.0 dataset_016879.jpg,"Are the oil tanks all the same size, or do they vary?",cluster_288_slice_18|cluster_288_slice_60|cluster_288_slice_59|cluster_288_slice_22|cluster_288_slice_26|cluster_288_slice_16|cluster_288_slice_49|cluster_294_slice_37|cluster_288_slice_51,0.15094637375518832,"The oil tanks in this SAR image appear to be of similar, uniform size, likely featuring standardized storage capacity as part of an organized industrial storage facility, with consistent radar reflections indicating their uniform dimensions.",No visible signs of leaks or spills are detectable in this SAR image.,0,2026-06-28 21:37:49
sar_1918.png,Does the speckle density change significantly across the image?,,0.12447948127613875,"Yes, the speckle density does change slightly across the image: some areas show denser speckling, possibly due to minor variations in surface roughness or material composition, though there are no abrupt transitions between different speckle density regions.","The speckling pattern is more consistent with natural features, such as vegetation or uneven ground, rather than structured man-made objects.",0,2026-06-28 21:37:51
sar_19571.png,Can you estimate the size of the ship based on the SAR data?,,0.13688213780281636,"Based on the SAR data, the ship's radar signature indicates it is a medium-sized vessel, likely between 100 to 200 meters in length, similar to a cargo ship or large fishing boat, though exact dimensions are hard to determine without specific scale references.","The water appears relatively calm, with minimal wave patterns, indicating light wind conditions at the time of capture.",0,2026-06-28 21:37:49
sar_2117.png,Are there any visible vehicles or moving objects in the image?,,0.0,SAR图像通常因成像机制难以清晰捕捉移动物体，该图像中无明显可辨的移动车辆或动态物体，不过沿道路区域可能存在一些小亮点，疑似静止车辆，整体无明确的移动目标迹象。,"Vegetation appears as rough, textured areas with moderate radar backscatter-less uniform than the structures but brighter than bare ground. It’s clustered in patches, suggesting shrubs or low-lying plants.",0,2026-06-28 21:37:50
sar_60073.png,"Can you identify any large open spaces, such as parks or plazas, within the city?",,0.2119180187384187,"In this densely built urban area, no prominent large open spaces such as parks or plazas are immediately visible. Only a few small scattered open spaces, likely representing parks, plazas or undeveloped lots, exist, and they are not dominant features in the cityscape.","Yes, industrial zones can be identified by larger, blocky structures with fewer windows and more open storage areas, while residential areas have smaller, closely packed buildings with visible balconies and terraces.",0,2026-06-28 21:37:51
sar_16725.png,How would you describe the terrain’s roughness based on the SAR texture?,,0.1469234845846201,"Based on the SAR texture, the terrain is moderately rough, with uneven backscatter patterns revealing a mix of rougher patches (likely rocky or vegetated) and smoother areas, reflecting uneven natural ground such as eroded or semi-arid terrain.","Yes, faint linear features-likely walking paths or small roads-cut through the park-like area. A few small structures, possibly benches or pavilions, appear as bright spots near these paths.",0,2026-06-28 21:37:50
sar_334196.png,Are there any signs of construction or damage to the overpass?,,0.23688584309755922,"The radar image shows no visible signs of construction or damage to the overpass. The overpass structures are identifiable as linear elevated features, and their surfaces appear smooth and continuous, with no disruptions such as earthworks, equipment, or structural anomalies that would indicate ongoing construction or damage.","Yes, the image shows at least two ramps merging into the overpass, visible as curved or diagonal lines branching from the main lanes.",0,2026-06-28 21:37:50
s1_75_ROIs1868_summer_s1_75_p577.png,Does the radar image show any signs of vegetation on the bordering land strips?,,0.7541379095644807,"Yes, the bordering land strips in the radar image exhibit textured patterns typical of low-to-moderate vegetation, likely grasslands or shrubs, based on the radar backscatter characteristics.","The water surface shows minimal roughness, with small ripples suggesting light wind or gentle currents. No strong wave patterns are visible.",0,2026-06-28 21:37:49
s1_116_ROIs1970_fall_s1_116_p2363.png,"Does the radar image show any surrounding land features, such as coastlines or vegetation?",,0.7675989598775995,"The radar image is a close-up of water, so surrounding land features like coastlines or vegetation are not clearly visible, with its primary focus being the textured surface of the water.","The ripples appear to be small-scale disturbances, likely caused by wind or minor currents, rather than large swells or waves.",0,2026-06-28 21:37:52
sar_5761.png,How are the streets arranged in this residential area?,cluster_256_slice_33|cluster_256_slice_56|cluster_256_slice_66|cluster_51_slice_36|cluster_256_slice_8|cluster_256_slice_37|cluster_256_slice_13|cluster_256_slice_53|cluster_256_slice_40,0.3446346441403848,"The streets in this residential area follow a clear grid-like pattern, with straight, intersecting roads that form uniform blocks, indicating planned suburban development rather than organic growth.","The single-family dwellings appear moderately spaced, with consistent gaps between properties. This suggests a suburban environment with room for yards or driveways.",0,2026-06-28 21:37:59
sar_8633.png,Are there any signs of human activity in the image?,,0.04689598854842056,"The image shows no clear signs of human activity or man-made structures. Its texture appears predominantly natural, with no distinct geometric shapes, linear features, or other indicators typical of human-made objects or disturbances, suggesting it likely depicts natural terrain or formations.","Yes, the small rectangular structure with a flat roof in the lower right corner suggests human presence, likely a shed or storage building. The narrow strip resembling a road or pathway also indicates potential human use.",0,2026-06-28 21:37:59
sar_14214.png,Does the image suggest this area is well-planned or more organically developed?,cluster_14_slice_53|cluster_14_slice_38|cluster_14_slice_61|cluster_14_slice_23|cluster_14_slice_42|cluster_14_slice_43|cluster_14_slice_49|cluster_14_slice_29|cluster_14_slice_7,0.08912179892120559,"The SAR image shows scattered, unstructured features with no clear geometric grid or planned layout, indicating this area is more organically developed rather than well-planned, with scattered structures and less systematic land arrangement typical of organic growth.","The layout appears planned, with aligned housing clusters and connecting roads, but minor irregularities suggest gradual or phased development.",0,2026-06-28 21:38:05
sar_19734.png,Is there any evidence of vegetation or trees near the solar panels that could cast shadows?,cluster_240_slice_12|cluster_240_slice_39|cluster_240_slice_27|cluster_240_slice_54|cluster_240_slice_8|cluster_240_slice_46|cluster_240_slice_4|cluster_240_slice_56|cluster_240_slice_26,0.12485982533292837,"The radar image shows minimal vegetation near the solar panels, with only faint, sparse speckled areas possibly indicating small trees or shrubs, and no visible shadows cast by vegetation around the panel installation, as the area appears open and unobstructed.","SAR imagery doesn’t show fine surface details like wear, but the uniformity of the panel reflections suggests they are intact and properly maintained.",0,2026-06-28 21:38:03
sar_6589.png,Is there any visible distinction between cultivated land and wild vegetation?,,0.19223606396055726,"Yes, in SAR remote sensing images, cultivated land usually shows uniform, geometric patterns with sharp edges and consistent textures, while wild vegetation appears as irregular, rougher, and more chaotic textured areas, enabling a clear distinction between the two.","While no vehicles are distinctly visible in this SAR image, the presence of a road and the organized layout of the fields suggest that machinery or vehicles may be used for farming or transportation.",0,2026-06-28 21:38:04
MSAR-1.0 dataset_026179.jpg,Is there any evidence of ship wakes or recent movement trails?,cluster_43_slice_47|cluster_43_slice_34|cluster_43_slice_23|cluster_43_slice_37|cluster_334_slice_27|cluster_334_slice_19|cluster_43_slice_56|cluster_43_slice_57|cluster_43_slice_46,0.1268606991639768,"Yes, faint wake patterns are visible in the SAR image, indicating recent ship movement or maneuvering.","No, the image only shows the two ships-no offshore platforms, buoys, or other structures are detected.",0,2026-06-28 21:37:53
sar_16675.png,Are there any vehicles parked along the streets or in driveways?,cluster_424_slice_14|cluster_424_slice_45|cluster_424_slice_18|cluster_355_slice_34|cluster_115_slice_4|cluster_424_slice_22|cluster_449_slice_47|cluster_424_slice_37|cluster_115_slice_48,0.2504330871203553,"Yes, vehicles are parked along the streets and in driveways, appearing as small, bright radar-reflective signatures in the SAR image.","Lot sizes appear relatively uniform within blocks, though slight variations exist-some properties have deeper setbacks or wider spacing between structures.",0,2026-06-28 21:37:58
sar_364749.png,"Is the body of water calm, or are there visible ripples suggesting wind or currents?",,0.17470494163473993,"The body of water appears mostly calm in this SAR image, with only very subtle faint variations possibly indicating minimal wind or minor disturbances, no visible ripples suggesting strong wind or currents.","The street surface appears intact without prominent potholes or cracks, though SAR resolution limits finer detail on pavement condition.",0,2026-06-28 21:38:04
sar_7064.png,Is there any evidence of water or irrigation systems in the field?,cluster_169_slice_13|cluster_169_slice_53|cluster_169_slice_25|cluster_169_slice_16|cluster_169_slice_14|cluster_169_slice_44|cluster_169_slice_52|cluster_169_slice_2|cluster_169_slice_55,0.09295919094509976,"No large-scale irrigation infrastructure (like canals or pivot systems) is clearly visible, but subtle linear features at field edges may indicate minor irrigation or drainage ditches, and the organized plot layout suggests possible subsurface water management or controlled drainage.",No distinct water features or irrigation patterns are detectable in this SAR image. The field’s uniform texture hints at dry or unirrigated land.,0,2026-06-28 21:37:58
MSAR-1.0 dataset_026183.jpg,"Are the ships close enough to each other to suggest interaction (e.g., docking, refueling)?",cluster_212_slice_8|cluster_212_slice_51|cluster_212_slice_24|cluster_212_slice_22|cluster_212_slice_52|cluster_495_slice_46|cluster_212_slice_58|cluster_212_slice_41|cluster_212_slice_2,0.0611889938456882,"The SAR image shows two stationary ships (no visible wake indicating they are not moving) positioned close to each other, suggesting they are moored in proximity, which implies possible interaction such as docking or refueling.","No, the distance between them is significant, and their positions show no signs of direct interaction or coordinated movement.",0,2026-06-28 21:37:54
